DO NOT MODIFY! Scanner has some issues which are yet to be fixed. Changes will be overwritten.

name;games;email;url
valve;Counter-Strike: Global Offensive,Team Fortress 2,Dota 2,Left 4 Dead 2,Portal 2,Portal,Counter-Strike: Source,Half-Life 2,Half-Life,Counter-Strike,Half-Life 2: Episode Two,Half-Life 2: Episode One,Half-Life: Source,Day of Defeat: Source,Team Fortress Classic,Day of Defeat,Dota Underlords,Deathmatch Classic,Ricochet,Half-Life 2: Deathmatch,Half-Life 2: Lost Coast,Counter-Strike: Condition Zero,Half-Life Deathmatch: Source,Artifact; ;https://store.steampowered.com/developer/valve?snr=1_5_9__2000
Hidden Path Entertainment;Counter-Strike: Global Offensive; ;https://store.steampowered.com/search/?developer=Hidden%20Path%20Entertainment&snr=1_5_9__2000
Gaijin Entertainment;War Thunder,X-Blades; ;https://store.steampowered.com/search/?developer=Gaijin%20Entertainment&snr=1_5_9__2000
firaxisgames;Sid Meier’s Civilization® VI,XCOM® 2,Sid Meier's Civilization® V,XCOM: Enemy Unknown,Sid Meier's Civilization®: Beyond Earth™; ;https://store.steampowered.com/developer/firaxisgames?snr=1_5_9__2000
Aspyr;Sid Meier’s Civilization® VI,Borderlands 2,Sid Meier's Civilization® V,Borderlands: The Pre-Sequel,Sid Meier's Civilization®: Beyond Earth™,Geometry Wars™ 3: Dimensions Evolved,Fahrenheit: Indigo Prophecy Remastered,InnerSpace; ;https://store.steampowered.com/developer/Aspyr?snr=1_5_9__2000
SCSsoftware;American Truck Simulator,Euro Truck Simulator 2; ;https://store.steampowered.com/developer/SCSsoftware?snr=1_5_9__2000
Ludeon;RimWorld; ;https://store.steampowered.com/developer/Ludeon?snr=1_5_9__2000
studiowildcard;ARK: Survival Evolved,ARK: Survival Of The Fittest; ;https://store.steampowered.com/developer/studiowildcard?snr=1_5_9__2000
Instinct Games;ARK: Survival Evolved,ARK: Survival Of The Fittest; ;https://store.steampowered.com/search/?developer=Instinct%20Games&snr=1_5_9__2000
Efecto Studios;ARK: Survival Evolved,ARK: Survival Of The Fittest; ;https://store.steampowered.com/search/?developer=Efecto%20Studios&snr=1_5_9__2000
SnailGamesUSA;ARK: Survival Evolved,ARK: Survival Of The Fittest; ;https://store.steampowered.com/developer/SnailGamesUSA?snr=1_5_9__2000
paradoxdevelopmentstudio;Stellaris,Hearts of Iron IV,Crusader Kings III,Europa Universalis IV,Crusader Kings II,Imperator: Rome,Victoria 3; ;https://store.steampowered.com/developer/paradoxdevelopmentstudio?snr=1_5_9__2000
ConcernedApe;Stardew Valley; ;https://store.steampowered.com/developer/ConcernedApe?snr=1_5_9__2000
Iron Gate AB;Valheim; ;https://store.steampowered.com/search/?developer=Iron%20Gate%20AB&snr=1_5_9__2000
paradoxinteractive;Cities: Skylines,Surviving Mars,Prison Architect,Pillars of Eternity,Magicka 2,Knights of Pen and Paper 2,Warlock 2: The Exiled,Cities in Motion 2,Cities in Motion; ;https://store.steampowered.com/developer/paradoxinteractive?snr=1_5_9__2000
CREATIVE ASSEMBLY;Total War: WARHAMMER II,Total War: WARHAMMER,Total War: THREE KINGDOMS,Total War: SHOGUN 2,Total War: ATTILA,Total War: WARHAMMER III,Total War: MEDIEVAL II – Definitive Edition,Total War: EMPIRE – Definitive Edition,A Total War Saga: THRONES OF BRITANNIA,A Total War Saga: FALL OF THE SAMURAI,; ;https://store.steampowered.com/search/?developer=CREATIVE%20ASSEMBLY&snr=1_5_9__2000
Feral Interactive;Total War: WARHAMMER II,Shadow of the Tomb Raider: Definitive Edition,Rise of the Tomb Raider™,Total War: WARHAMMER,Total War: THREE KINGDOMS,Tomb Raider,XCOM® 2,Company of Heroes 2,Total War: ROME REMASTERED,Total War: SHOGUN 2,Life is Strange - Episode 1,Total War: MEDIEVAL II – Definitive Edition,Life is Strange 2,Total War: EMPIRE – Definitive Edition,XCOM: Enemy Unknown,HITMAN™,Alien: Isolation,A Total War Saga: THRONES OF BRITANNIA,Deus Ex: Mankind Divided,Life is Strange: Before the Storm,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War III,Warhammer 40,000: Dawn of War III,Medieval II: Total War™ Kingdoms,A Total War Saga: FALL OF THE SAMURAI,,COH 2 - The Western Front Armies: US Forces,Company of Heroes 2 - The Western Front Armies; ;https://store.steampowered.com/search/?developer=Feral%20Interactive%20%28Mac%29&snr=1_5_9__2000
Re-Logic;Terraria; ;https://store.steampowered.com/developer/Re-Logic?snr=1_5_9__2000
Witch Beam;Unpacking,Assault Android Cactus+; ;https://store.steampowered.com/search/?developer=Witch%20Beam&snr=1_5_9__2000
Jackbox Games, Inc.;The Jackbox Party Pack 8; ;https://store.steampowered.com/search/?developer=Jackbox%20Games%2C%20Inc.&snr=1_5_9__2000
starbreeze;PAYDAY 2; ;https://store.steampowered.com/developer/starbreeze?snr=1_5_9__2000
Nicalis;The Binding of Isaac: Rebirth,Cave Story+,Toribash,1001 Spikes,NightSky,Tiny Barbarian DX; ;https://store.steampowered.com/developer/Nicalis?snr=1_5_9__2000
